wavelength_angstrom,opacity_cm_minus_1
5049.2,1.2852303185084278e-15
5049.3,1.2858977106004826e-15
5049.4,1.2865656226707993e-15
5049.5,1.2872340552596812e-15
5049.6,1.287903008908133e-15
5049.7,1.2885724841578763e-15
5049.8,1.2892424815513233e-15
5049.9,1.2899130016315905e-15
5050.0,1.2905840449425153e-15
5050.1,1.2912556120286294e-15
5050.2,1.2919277034351718e-15
5050.3,1.2926003197081058e-15
5050.4,1.293273461394092e-15
5050.5,1.2939471290405006e-15
5050.6,1.2946213231954322e-15
5050.7,1.2952960444076853e-15
5050.8,1.2959712932267736e-15
5050.9,1.2966470702029418e-15
5051.0,1.2973233758871391e-15
5051.1,1.2980002108310306e-15
5051.2,1.2986775755870175e-15
5051.3,1.2993554707082079e-15
5051.4,1.3000338967484292e-15
5051.5,1.300712854262249e-15
5051.6,1.3013923438049442e-15
5051.7,1.3020723659325206e-15
5051.8,1.3027529212017067e-15
5051.9,1.3034340101699733e-15
5052.0,1.304115633395505e-15
5052.1,1.304797791437217e-15
5052.2,1.3054804848547687e-15
5052.3,1.306163714208539e-15
5052.4,1.3068474800596396e-15
5052.5,1.30753178296993e-15
5052.6,1.3082166235019928e-15
5052.7,1.3089020022191468e-15
5052.8,1.3095879196854619e-15
5052.9,1.3102743764657348e-15
5053.0,1.3109613731255017e-15
5053.1,1.3116489102310535e-15
5053.2,1.3123369883494116e-15
5053.3,1.3130256080483401e-15
5053.4,1.313714769896362e-15
5053.5,1.3144044744627327e-15
5053.6,1.315094722317455e-15
5053.7,1.3157855140312944e-15
5053.8,1.3164768501757515e-15
5053.9,1.3171687313230792e-15
5054.0,1.3178611580462945e-15
5054.1,1.318554130919155e-15
5054.2,1.3192476505161733e-15
5054.3,1.319941717412629e-15
5054.4,1.3206363321845475e-15
5054.5,1.3213314954087107e-15
5054.6,1.3220272076626746e-15
5054.7,1.3227234695247404e-15
5054.8,1.3234202815739722e-15
5054.9,1.3241176443902097e-15
5055.0,1.3248155585540441e-15
5055.1,1.3255140246468348e-15
5055.2,1.326213043250705e-15
5055.3,1.326912614948558e-15
5055.4,1.3276127403240518e-15
5055.5,1.328313419961616e-15
5055.6,1.3290146544464646e-15
5055.7,1.3297164443645703e-15
5055.8,1.3304187903026793e-15
5055.9,1.3311216928483274e-15
5056.0,1.3318251525898119e-15
5056.1,1.3325291701162074e-15
5056.2,1.3332337460173826e-15
5056.3,1.3339388808839714e-15
5056.4,1.3346445753073878e-15
5056.5,1.335350829879844e-15
5056.6,1.3360576451943204e-15
5056.7,1.3367650218445823e-15
5056.8,1.3374729604251969e-15
5056.9,1.338181461531503e-15
5057.0,1.338890525759628e-15
5057.1,1.339600153706505e-15
5057.2,1.340310345969843e-15
5057.3,1.3410211031481412e-15
5057.4,1.3417324258407115e-15
5057.5,1.3424443146476432e-15
5057.6,1.3431567701698215e-15
5057.7,1.3438697930089452e-15
5057.8,1.344583383767497e-15
5057.9,1.3452975430487575e-15
5058.0,1.3460122714568272e-15
5058.1,1.3467275695965903e-15
5058.2,1.347443438073737e-15
5058.3,1.3481598774947782e-15
5058.4,1.348876888467014e-15
5058.5,1.3495944715985595e-15
5058.6,1.3503126274983325e-15
5058.7,1.3510313567760755e-15
5058.8,1.351750660042329e-15
5058.9,1.3524705379084465e-15
5059.0,1.353190990986609e-15
5059.1,1.3539120198897985e-15
5059.2,1.3546336252318155e-15
5059.3,1.3553558076272908e-15
5059.4,1.356078567691662e-15
5059.5,1.3568019060411865e-15
5059.6,1.3575258232929576e-15
5059.7,1.3582503200648788e-15
5059.8,1.3589753969756778e-15
5059.9,1.3597010546449217e-15
5060.0,1.360427293692992e-15
5060.1,1.3611541147410977e-15
5060.2,1.3618815184112924e-15
5060.3,1.362609505326447e-15
5060.4,1.3633380761102653e-15
5060.5,1.3640672313872975e-15
5060.6,1.364796971782917e-15
5060.7,1.3655272979233328e-15
5060.8,1.3662582104356058e-15
5060.9,1.366989709947623e-15
5061.0,1.3677217970881114e-15
5061.1,1.3684544724866538e-15
5061.2,1.3691877367736631e-15
5061.3,1.3699215905803968e-15
5061.4,1.3706560345389715e-15
5061.5,1.3713910692823383e-15
5061.6,1.3721266954442968e-15
5061.7,1.3728629136595112e-15
5061.8,1.3735997245634822e-15
5061.9,1.3743371287925696e-15
5062.0,1.3750751269839806e-15
5062.1,1.3758137197757942e-15
5062.2,1.376552907806932e-15
5062.3,1.3772926917171718e-15
5062.4,1.3780330721471692e-15
5062.5,1.3787740497384242e-15
5062.6,1.379515625133299e-15
5062.7,1.3802577989750359e-15
5062.8,1.381000571907728e-15
5062.9,1.3817439445763327e-15
