# wavelength(A) flux continuum rectified_flux
6563.200000 3.381578174854e+14 3.876867721309e+14 8.722449198529e-01
6563.210000 3.378680350299e+14 3.876861953704e+14 8.714987509604e-01
6563.220000 3.375723518524e+14 3.876856186084e+14 8.707373594721e-01
6563.230000 3.372692329657e+14 3.876850418455e+14 8.699567859522e-01
6563.240000 3.369588144010e+14 3.876844650813e+14 8.691573811974e-01
6563.250000 3.366360759055e+14 3.876838883159e+14 8.683261957773e-01
6563.260000 3.362972497750e+14 3.876833115494e+14 8.674535110395e-01
6563.270000 3.359381812299e+14 3.876827347817e+14 8.665286098413e-01
6563.280000 3.355549791373e+14 3.876821580128e+14 8.655414550346e-01
6563.290000 3.351435520518e+14 3.876815812426e+14 8.644814927178e-01
6563.300000 3.347200801683e+14 3.876810044713e+14 8.633904584126e-01
6563.310000 3.342833332551e+14 3.876804276988e+14 8.622651786663e-01
6563.320000 3.338556186375e+14 3.876798509251e+14 8.611631939107e-01
6563.330000 3.334707966350e+14 3.876792741502e+14 8.601718453120e-01
6563.340000 3.331298513130e+14 3.876786973742e+14 8.592936717166e-01
6563.350000 3.328415684500e+14 3.876781205969e+14 8.585513361898e-01
6563.360000 3.325987809600e+14 3.876775438184e+14 8.579263521018e-01
6563.370000 3.323846129131e+14 3.876769670389e+14 8.573751890701e-01
6563.380000 3.321639384189e+14 3.876763902580e+14 8.568072412092e-01
6563.390000 3.319284256420e+14 3.876758134760e+14 8.562010166843e-01
6563.400000 3.316715807152e+14 3.876752366927e+14 8.555397645325e-01
6563.410000 3.313867225178e+14 3.876746599084e+14 8.548062506744e-01
6563.420000 3.310780729770e+14 3.876740831229e+14 8.540113651911e-01
6563.430000 3.307500738127e+14 3.876735063360e+14 8.531665651817e-01
6563.440000 3.304066660456e+14 3.876729295482e+14 8.522820162621e-01
6563.450000 3.300522343983e+14 3.876723527590e+14 8.513690286381e-01
6563.460000 3.296892957704e+14 3.876717759687e+14 8.504340945291e-01
6563.470000 3.293182318339e+14 3.876711991772e+14 8.494781983620e-01
6563.480000 3.289406387296e+14 3.876706223845e+14 8.485054573038e-01
6563.490000 3.285569803397e+14 3.876700455905e+14 8.475170678694e-01
6563.500000 3.281671864770e+14 3.876694687955e+14 8.465128489397e-01
6563.510000 3.277711583448e+14 3.876688919992e+14 8.454925455961e-01
6563.520000 3.273694888797e+14 3.876683152018e+14 8.444576872611e-01
6563.530000 3.269614551540e+14 3.876677384032e+14 8.434064090573e-01
6563.540000 3.265432008474e+14 3.876671616033e+14 8.423287634085e-01
6563.550000 3.261190696450e+14 3.876665848023e+14 8.412359548897e-01
6563.560000 3.256891416680e+14 3.876660080002e+14 8.401281901089e-01
6563.570000 3.252545308784e+14 3.876654311967e+14 8.390083425141e-01
6563.580000 3.248097137365e+14 3.876648543921e+14 8.378621638161e-01
6563.590000 3.243607116264e+14 3.876642775864e+14 8.367051863687e-01
6563.600000 3.239044643766e+14 3.876637007794e+14 8.355295162415e-01
6563.610000 3.234349734291e+14 3.876631239713e+14 8.343196797152e-01
6563.620000 3.229597296875e+14 3.876625471619e+14 8.330949998958e-01
6563.630000 3.224753294256e+14 3.876619703515e+14 8.318466965776e-01
6563.640000 3.219828743253e+14 3.876613935397e+14 8.305776115215e-01
6563.650000 3.214846057600e+14 3.876608167268e+14 8.292935264247e-01
6563.660000 3.209788394580e+14 3.876602399127e+14 8.279900965089e-01
6563.670000 3.204677401809e+14 3.876596630974e+14 8.266729058690e-01
6563.680000 3.199486881713e+14 3.876590862809e+14 8.253351965533e-01
6563.690000 3.194452256332e+14 3.876585094634e+14 8.240376977031e-01
6563.700000 3.189120734041e+14 3.876579326446e+14 8.226636076514e-01
6563.710000 3.183720773408e+14 3.876573558245e+14 8.212718591749e-01
6563.720000 3.178247216179e+14 3.876567790032e+14 8.198611215703e-01
6563.730000 3.172694390156e+14 3.876562021809e+14 8.184299315492e-01
6563.740000 3.166970820237e+14 3.876556253573e+14 8.169546920203e-01
6563.750000 3.161081301482e+14 3.876550485325e+14 8.154366397261e-01
6563.760000 3.155115631931e+14 3.876544717066e+14 8.138989389290e-01
6563.770000 3.149015762654e+14 3.876538948794e+14 8.123266151199e-01
6563.780000 3.142803055666e+14 3.876533180511e+14 8.107251787413e-01
6563.790000 3.136453205115e+14 3.876527412216e+14 8.090883596570e-01
6563.800000 3.129965116227e+14 3.876521643909e+14 8.074158752978e-01
6563.810000 3.123345430905e+14 3.876515875589e+14 8.057094388733e-01
