# Korg.jl Solar Spectrum - Complete Data
# Generated on: 2025-07-31T21:55:00.448
# Parameters: Teff=5780 K, logg=4.44, [M/H]=0.0, vmic=1.0 km/s
# Wavelength range: (5000, 5200) Å
# Synthesis time: 56.38 seconds
# Total wavelength points: 20001
# Strong absorption lines (>10% depth): 6154
# Deepest line: 5185.05 Å, 89.2% depth
#
# Column 1: Wavelength (Å)
# Column 2: Absolute Flux (erg/s/cm²/Å)
# Column 3: Continuum Flux (erg/s/cm²/Å)
# Column 4: Normalized Flux (dimensionless)
#
# Wavelength    AbsoluteFlux      ContinuumFlux     NormalizedFlux
 5002.3900     4.413612e+14     1.048186e+15      0.421072
 5002.4000     4.990064e+14     1.048180e+15      0.476069
 5002.4100     6.122813e+14     1.048175e+15      0.584140
 5002.4200     7.512146e+14     1.048170e+15      0.716692
 5002.4300     8.523589e+14     1.048165e+15      0.813192
 5002.4400     8.921410e+14     1.048159e+15      0.851150
 5002.4500     9.003044e+14     1.048154e+15      0.858943
 5002.4600     9.077912e+14     1.048149e+15      0.866090
 5002.4700     9.264763e+14     1.048144e+15      0.883921
 5002.4800     9.545001e+14     1.048138e+15      0.910662
 5002.4900     9.843232e+14     1.048133e+15      0.939120
 5002.5000     1.008577e+15     1.048128e+15      0.962265
 5002.5100     1.024273e+15     1.048123e+15      0.977245
 5002.5200     1.032547e+15     1.048117e+15      0.985144
 5002.5300     1.036149e+15     1.048112e+15      0.988585
 5002.5400     1.037408e+15     1.048107e+15      0.989792
 5002.5500     1.037637e+15     1.048102e+15      0.990015
 5002.5600     1.037239e+15     1.048097e+15      0.989641
 5002.5700     1.035907e+15     1.048091e+15      0.988375
 5002.5800     1.031972e+15     1.048086e+15      0.984626
 5002.5900     1.022970e+15     1.048081e+15      0.976041
 5002.6000     1.007177e+15     1.048076e+15      0.960977
 5002.6100     9.880097e+14     1.048070e+15      0.942694
 5002.6200     9.742359e+14     1.048065e+15      0.929557
 5002.6300     9.738795e+14     1.048060e+15      0.929221
 5002.6400     9.871599e+14     1.048055e+15      0.941897
 5002.6500     1.005867e+15     1.048049e+15      0.959751
 5002.6600     1.021189e+15     1.048044e+15      0.974376
 5002.6700     1.029839e+15     1.048039e+15      0.982635
 5002.6800     1.033377e+15     1.048034e+15      0.986015
 5002.6900     1.034392e+15     1.048029e+15      0.986988
 5002.7000     1.034452e+15     1.048023e+15      0.987051
 5002.7100     1.034173e+15     1.048018e+15      0.986790
 5002.7200     1.033745e+15     1.048013e+15      0.986386
 5002.7300     1.033211e+15     1.048008e+15      0.985882
 5002.7400     1.032582e+15     1.048002e+15      0.985286
 5002.7500     1.031716e+15     1.047997e+15      0.984465
 5002.7600     1.030832e+15     1.047992e+15      0.983626
 5002.7700     1.029747e+15     1.047987e+15      0.982596
 5002.7800     1.028425e+15     1.047981e+15      0.981339
 5002.7900     1.026365e+15     1.047976e+15      0.979378
 5002.8000     1.022920e+15     1.047971e+15      0.976096
 5002.8100     1.016410e+15     1.047966e+15      0.969888
 5002.8200     1.003655e+15     1.047960e+15      0.957723
 5002.8300     9.807850e+14     1.047955e+15      0.935903
 5002.8400     9.464847e+14     1.047950e+15      0.903177
 5002.8500     9.064415e+14     1.047945e+15      0.864971
 5002.8600     8.710937e+14     1.047940e+15      0.831244
 5002.8700     8.514256e+14     1.047934e+15      0.812480
 5002.8800     8.524415e+14     1.047929e+15      0.813453
 5002.8900     8.736066e+14     1.047924e+15      0.833655
 5002.9000     9.085592e+14     1.047919e+15      0.867013
 5002.9100     9.457855e+14     1.047913e+15      0.902542
 5002.9200     9.756026e+14     1.047908e+15      0.931000
 5002.9300     9.936783e+14     1.047903e+15      0.948254
 5002.9400     1.002196e+15     1.047898e+15      0.956387
 5002.9500     1.005068e+15     1.047892e+15      0.959132
 5002.9600     1.005147e+15     1.047887e+15      0.959213
 5002.9700     1.003858e+15     1.047882e+15      0.957988
 5002.9800     1.001826e+15     1.047877e+15      0.956053
 5002.9900     9.992149e+14     1.047872e+15      0.953566
 5003.0000     9.961100e+14     1.047866e+15      0.950608
 5003.0100     9.925073e+14     1.047859e+15      0.947176
 5003.0200     9.883697e+14     1.047853e+15      0.943233
 5003.0300     9.836498e+14     1.047846e+15      0.938735
 5003.0400     9.783553e+14     1.047839e+15      0.933689
 5003.0500     9.721804e+14     1.047832e+15      0.927802
 5003.0600     9.650945e+14     1.047825e+15      0.921045
 5003.0700     9.569286e+14     1.047818e+15      0.913258
 5003.0800     9.474727e+14     1.047812e+15      0.904239
 5003.0900     9.364612e+14     1.047805e+15      0.893736
 5003.1000     9.235585e+14     1.047798e+15      0.881428
 5003.1100     9.083386e+14     1.047791e+15      0.866908
 5003.1200     8.902057e+14     1.047784e+15      0.849608
 5003.1300     8.681768e+14     1.047778e+15      0.828589
 5003.1400     8.420178e+14     1.047771e+15      0.803628
 5003.1500     8.104051e+14     1.047764e+15      0.773462
 5003.1600     7.708552e+14     1.047757e+15      0.735719
 5003.1700     7.204181e+14     1.047750e+15      0.687586
 5003.1800     6.537221e+14     1.047743e+15      0.623933
 5003.1900     5.571250e+14     1.047737e+15      0.531741
 5003.2000     4.275391e+14     1.047730e+15      0.408062
 5003.2100     3.154467e+14     1.047723e+15      0.301078
 5003.2200     2.490374e+14     1.047716e+15      0.237696
 5003.2300     2.099118e+14     1.047709e+15      0.200353
 5003.2400     1.860787e+14     1.047702e+15      0.177606
 5003.2500     1.735469e+14     1.047696e+15      0.165646
 5003.2600     1.704929e+14     1.047689e+15      0.162732
 5003.2700     1.764344e+14     1.047682e+15      0.168404
 5003.2800     1.922933e+14     1.047675e+15      0.183543
 5003.2900     2.203489e+14     1.047668e+15      0.210323
 5003.3000     2.661579e+14     1.047662e+15      0.254049
 5003.3100     3.457652e+14     1.047655e+15      0.330037
 5003.3200     4.694228e+14     1.047648e+15      0.448073
 5003.3300     5.897461e+14     1.047641e+15      0.562928
 5003.3400     6.708014e+14     1.047634e+15      0.640301
 5003.3500     7.275112e+14     1.047627e+15      0.694437
 5003.3600     7.726706e+14     1.047621e+15      0.737548
 5003.3700     8.109783e+14     1.047614e+15      0.774120
 5003.3800     8.437367e+14     1.047607e+15      0.805394
 5003.3900     8.715277e+14     1.047600e+15      0.831928
 5003.4000     8.940786e+14     1.047593e+15      0.853460
 5003.4100     9.121245e+14     1.047586e+15      0.870691
 5003.4200     9.269505e+14     1.047580e+15      0.884850
 5003.4300     9.393838e+14     1.047573e+15      0.896724
 5003.4400     9.499631e+14     1.047566e+15      0.906829
 5003.4500     9.590549e+14     1.047559e+15      0.915514
 5003.4600     9.669244e+14     1.047552e+15      0.923032
 5003.4700     9.737772e+14     1.047546e+15      0.929580
 5003.4800     9.797784e+14     1.047539e+15      0.935315
 5003.4900     9.850605e+14     1.047532e+15      0.940363
 5003.5000     9.897310e+14     1.047525e+15      0.944828
 5003.5100     9.938822e+14     1.047518e+15      0.948797
 5003.5200     9.975784e+14     1.047511e+15      0.952332
 5003.5300     1.000885e+15     1.047505e+15      0.955495
 5003.5400     1.003854e+15     1.047498e+15      0.958335
 5003.5500     1.006527e+15     1.047491e+15      0.960894
 5003.5600     1.008941e+15     1.047484e+15      0.963205
 5003.5700     1.011127e+15     1.047477e+15      0.965297
 5003.5800     1.013110e+15     1.047470e+15      0.967197
 5003.5900     1.014913e+15     1.047464e+15      0.968924
 5003.6000     1.016556e+15     1.047457e+15      0.970499
 5003.6100     1.018054e+15     1.047450e+15      0.971936
 5003.6200     1.019361e+15     1.047443e+15      0.973190
 5003.6300     1.020591e+15     1.047436e+15      0.974370
 5003.6400     1.021688e+15     1.047430e+15      0.975424
 5003.6500     1.022572e+15     1.047423e+15      0.976274
 5003.6600     1.022906e+15     1.047416e+15      0.976600
 5003.6700     1.021692e+15     1.047409e+15      0.975447
 5003.6800     1.016980e+15     1.047402e+15      0.970954
 5003.6900     1.006897e+15     1.047395e+15      0.961334
 5003.7000     9.926471e+14     1.047389e+15      0.947735
 5003.7100     9.803468e+14     1.047382e+15      0.935998
 5003.7200     9.774558e+14     1.047375e+15      0.933243
 5003.7300     9.861606e+14     1.047368e+15      0.941561
 5003.7400     1.001347e+15     1.047361e+15      0.956067
 5003.7500     1.015300e+15     1.047354e+15      0.969395
 5003.7600     1.024011e+15     1.047348e+15      0.977718
 5003.7700     1.027994e+15     1.047341e+15      0.981528
 5003.7800     1.029402e+15     1.047334e+15      0.982879
 5003.7900     1.029614e+15     1.047327e+15      0.983087
 5003.8000     1.028595e+15     1.047320e+15      0.982121
 5003.8100     1.025182e+15     1.047314e+15      0.978868
 5003.8200     1.019251e+15     1.047307e+15      0.973212
 5003.8300     1.014278e+15     1.047300e+15      0.968469
 5003.8400     1.014826e+15     1.047293e+15      0.968999
 5003.8500     1.019836e+15     1.047286e+15      0.973789
 5003.8600     1.024259e+15     1.047279e+15      0.978019
 5003.8700     1.025602e+15     1.047273e+15      0.979308
 5003.8800     1.024514e+15     1.047266e+15      0.978275
 5003.8900     1.021833e+15     1.047259e+15      0.975721
 5003.9000     1.016796e+15     1.047252e+15      0.970918
 5003.9100     1.004513e+15     1.047245e+15      0.959195
 5003.9200     9.674005e+14     1.047239e+15      0.923763
 5003.9300     8.659235e+14     1.047232e+15      0.826869
 5003.9400     6.799723e+14     1.047225e+15      0.649309
 5003.9500     4.921290e+14     1.047218e+15      0.469939
 5003.9600     3.836401e+14     1.047211e+15      0.366344
 5003.9700     3.384285e+14     1.047204e+15      0.323173
 5003.9800     3.288243e+14     1.047198e+15      0.314004
 5003.9900     3.482524e+14     1.047191e+15      0.332559
 5004.0000     4.099914e+14     1.047184e+15      0.391518
