# Korg.jl Solar Spectrum - Simple Format
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux  Continuum(erg/s/cm²/Å)
 5005.8100      0.799978     1.046349e+15
 5005.8200      0.863614     1.046347e+15
 5005.8300      0.924668     1.046345e+15
 5005.8400      0.964378     1.046343e+15
 5005.8500      0.982942     1.046341e+15
 5005.8600      0.989809     1.046339e+15
 5005.8700      0.992132     1.046338e+15
 5005.8800      0.993006     1.046336e+15
 5005.8900      0.993441     1.046334e+15
 5005.9000      0.993699     1.046332e+15
 5005.9100      0.993866     1.046330e+15
 5005.9200      0.994068     1.046328e+15
 5005.9300      0.994135     1.046327e+15
 5005.9400      0.994105     1.046325e+15
 5005.9500      0.994097     1.046323e+15
 5005.9600      0.994025     1.046321e+15
 5005.9700      0.993768     1.046319e+15
 5005.9800      0.992917     1.046318e+15
 5005.9900      0.990847     1.046316e+15
 5006.0000      0.986842     1.046314e+15
 5006.0100      0.981293     1.046319e+15
 5006.0200      0.976516     1.046325e+15
 5006.0300      0.975412     1.046330e+15
 5006.0400      0.978693     1.046336e+15
 5006.0500      0.984191     1.046341e+15
 5006.0600      0.988978     1.046346e+15
 5006.0700      0.991919     1.046352e+15
 5006.0800      0.993100     1.046357e+15
 5006.0900      0.993325     1.046363e+15
 5006.1000      0.993371     1.046368e+15
 5006.1100      0.993323     1.046373e+15
 5006.1200      0.993309     1.046379e+15
 5006.1300      0.993202     1.046384e+15
 5006.1400      0.993089     1.046390e+15
 5006.1500      0.992966     1.046395e+15
 5006.1600      0.992831     1.046401e+15
 5006.1700      0.992682     1.046406e+15
 5006.1800      0.992512     1.046411e+15
 5006.1900      0.992311     1.046417e+15
 5006.2000      0.992053     1.046422e+15
 5006.2100      0.991661     1.046428e+15
 5006.2200      0.990769     1.046433e+15
 5006.2300      0.987823     1.046438e+15
 5006.2400      0.977810     1.046444e+15
 5006.2500      0.950017     1.046449e+15
 5006.2600      0.893919     1.046455e+15
 5006.2700      0.817510     1.046460e+15
 5006.2800      0.751684     1.046466e+15
 5006.2900      0.726555     1.046471e+15
 5006.3000      0.752502     1.046476e+15
 5006.3100      0.818654     1.046482e+15
 5006.3200      0.894589     1.046487e+15
 5006.3300      0.949745     1.046493e+15
 5006.3400      0.976700     1.046498e+15
 5006.3500      0.986158     1.046503e+15
 5006.3600      0.988715     1.046509e+15
 5006.3700      0.989273     1.046514e+15
 5006.3800      0.989343     1.046520e+15
 5006.3900      0.989273     1.046525e+15
 5006.4000      0.989139     1.046531e+15
 5006.4100      0.988962     1.046536e+15
 5006.4200      0.988752     1.046541e+15
 5006.4300      0.988509     1.046547e+15
 5006.4400      0.988232     1.046552e+15
 5006.4500      0.987915     1.046558e+15
 5006.4600      0.987541     1.046563e+15
 5006.4700      0.987074     1.046569e+15
 5006.4800      0.986281     1.046574e+15
 5006.4900      0.984793     1.046579e+15
 5006.5000      0.980366     1.046585e+15
 5006.5100      0.965917     1.046590e+15
 5006.5200      0.927516     1.046596e+15
 5006.5300      0.852332     1.046601e+15
 5006.5400      0.751841     1.046606e+15
 5006.5500      0.663182     1.046612e+15
 5006.5600      0.617758     1.046617e+15
 5006.5700      0.625704     1.046623e+15
 5006.5800      0.684459     1.046628e+15
 5006.5900      0.775796     1.046634e+15
 5006.6000      0.863066     1.046639e+15
 5006.6100      0.918794     1.046644e+15
 5006.6200      0.945961     1.046650e+15
 5006.6300      0.959776     1.046655e+15
 5006.6400      0.968524     1.046661e+15
 5006.6500      0.974101     1.046666e+15
 5006.6600      0.976928     1.046671e+15
 5006.6700      0.977894     1.046677e+15
 5006.6800      0.977907     1.046682e+15
 5006.6900      0.977509     1.046688e+15
 5006.7000      0.976853     1.046693e+15
