# Korg.jl Solar Spectrum
# Teff=5780 K, logg=4.44, [M/H]=0.0
# Wavelength(Å)  NormalizedFlux
 5008.4700      0.911886
 5008.4800      0.889882
 5008.4900      0.868624
 5008.5000      0.855059
 5008.5100      0.850122
 5008.5200      0.845823
 5008.5300      0.822507
 5008.5400      0.734571
 5008.5500      0.531324
 5008.5600      0.328547
 5008.5700      0.241914
 5008.5800      0.202816
 5008.5900      0.180988
 5008.6000      0.170556
 5008.6100      0.169583
 5008.6200      0.177631
 5008.6300      0.194057
 5008.6400      0.210357
 5008.6500      0.209637
 5008.6600      0.199852
 5008.6700      0.195173
 5008.6800      0.199596
 5008.6900      0.214669
 5008.7000      0.243656
 5008.7100      0.297660
 5008.7200      0.406290
 5008.7300      0.565170
 5008.7400      0.680826
 5008.7500      0.725738
 5008.7600      0.731697
 5008.7700      0.728527
 5008.7800      0.738914
 5008.7900      0.771363
 5008.8000      0.819288
 5008.8100      0.866045
 5008.8200      0.900025
 5008.8300      0.920449
 5008.8400      0.932519
 5008.8500      0.940400
 5008.8600      0.946334
 5008.8700      0.951197
 5008.8800      0.955311
 5008.8900      0.958861
 5008.9000      0.961845
 5008.9100      0.964561
 5008.9200      0.966964
 5008.9300      0.969101
 5008.9400      0.971009
 5008.9500      0.972721
 5008.9600      0.974260
 5008.9700      0.975648
 5008.9800      0.976900
 5008.9900      0.978029
 5009.0000      0.978946
 5009.0100      0.979850
 5009.0200      0.980647
 5009.0300      0.981324
 5009.0400      0.981843
 5009.0500      0.982058
 5009.0600      0.981285
 5009.0700      0.976885
 5009.0800      0.961320
 5009.0900      0.921421
 5009.1000      0.850483
 5009.1100      0.767554
 5009.1200      0.708584
 5009.1300      0.697599
 5009.1400      0.738539
 5009.1500      0.816380
 5009.1600      0.897137
 5009.1700      0.951532
 5009.1800      0.976615
 5009.1900      0.985337
 5009.2000      0.987967
 5009.2100      0.988951
 5009.2200      0.989489
 5009.2300      0.989874
 5009.2400      0.990174
 5009.2500      0.990416
 5009.2600      0.990611
 5009.2700      0.990762
 5009.2800      0.990868
 5009.2900      0.990920
 5009.3000      0.990911
 5009.3100      0.990823
 5009.3200      0.990616
 5009.3300      0.990218
 5009.3400      0.989434
 5009.3500      0.987831
 5009.3600      0.984006
 5009.3700      0.973818
 5009.3800      0.950037
 5009.3900      0.905831
 5009.4000      0.847051
 5009.4100      0.794704
 5009.4200      0.772885
 5009.4300      0.790993
 5009.4400      0.841353
 5009.4500      0.900879
 5009.4600      0.947341
 5009.4700      0.973195
 5009.4800      0.984600
 5009.4900      0.989177
 5009.5000      0.991161
 5009.5100      0.992242
 5009.5200      0.992911
 5009.5300      0.993387
 5009.5400      0.993745
 5009.5500      0.994030
 5009.5600      0.994266
 5009.5700      0.994461
 5009.5800      0.994627
 5009.5900      0.994771
 5009.6000      0.994898
 5009.6100      0.995010
 5009.6200      0.995110
 5009.6300      0.995201
 5009.6400      0.995282
 5009.6500      0.995356
 5009.6600      0.995422
 5009.6700      0.995483
 5009.6800      0.995537
 5009.6900      0.995586
 5009.7000      0.995630
 5009.7100      0.995668
 5009.7200      0.995701
 5009.7300      0.995728
 5009.7400      0.995697
 5009.7500      0.995713
 5009.7600      0.995722
 5009.7700      0.995725
 5009.7800      0.995720
 5009.7900      0.995707
 5009.8000      0.995684
 5009.8100      0.995651
 5009.8200      0.995605
 5009.8300      0.995544
 5009.8400      0.995465
 5009.8500      0.995464
 5009.8600      0.995333
 5009.8700      0.995169
 5009.8800      0.994964
 5009.8900      0.994706
 5009.9000      0.994377
 5009.9100      0.993945
 5009.9200      0.993385
 5009.9300      0.992634
 5009.9400      0.991571
 5009.9500      0.989980
 5009.9600      0.987257
 5009.9700      0.981800
 5009.9800      0.968123
 5009.9900      0.932624
 5010.0000      0.855593
 5010.0100      0.736678
 5010.0200      0.617244
 5010.0300      0.540728
 5010.0400      0.520621
 5010.0500      0.556505
 5010.0600      0.647847
 5010.0700      0.772348
 5010.0800      0.882214
 5010.0900      0.946051
 5010.1000      0.973499
 5010.1100      0.983932
 5010.1200      0.988148
 5010.1300      0.989951
 5010.1400      0.989812
 5010.1500      0.987067
 5010.1600      0.981114
 5010.1700      0.973254
 5010.1800      0.967336
 5010.1900      0.967200
 5010.2000      0.973183
 5010.2100      0.981838
 5010.2200      0.989120
 5010.2300      0.993459
 5010.2400      0.995449
 5010.2500      0.996244
 5010.2600      0.996582
 5010.2700      0.996768
 5010.2800      0.996903
 5010.2900      0.997011
 5010.3000      0.997181
 5010.3100      0.997249
 5010.3200      0.997310
 5010.3300      0.997367
 5010.3400      0.997419
 5010.3500      0.997467
 5010.3600      0.997512
 5010.3700      0.997554
 5010.3800      0.997593
 5010.3900      0.997630
 5010.4000      0.997665
 5010.4100      0.997697
 5010.4200      0.997728
 5010.4300      0.997758
 5010.4400      0.997786
 5010.4500      0.997812
 5010.4600      0.997724
 5010.4700      0.997724
 5010.4800      0.997713
 5010.4900      0.997681
 5010.5000      0.997595
 5010.5100      0.997291
 5010.5200      0.996071
 5010.5300      0.991704
 5010.5400      0.979379
 5010.5500      0.953844
 5010.5600      0.917274
 5010.5700      0.884167
 5010.5800      0.872493
 5010.5900      0.889013
 5010.6000      0.924220
 5010.6100      0.959517
 5010.6200      0.982529
 5010.6300      0.993003
 5010.6400      0.996559
 5010.6500      0.997544
 5010.6600      0.997814
 5010.6700      0.997918
 5010.6800      0.997853
 5010.6900      0.997877
 5010.7000      0.997859
 5010.7100      0.997847
 5010.7200      0.997387
 5010.7300      0.995924
 5010.7400      0.991727
 5010.7500      0.981829
 5010.7600      0.961930
 5010.7700      0.928883
 5010.7800      0.884107
 5010.7900      0.835040
 5010.8000      0.791969
 5010.8100      0.763003
